#,Company,Symbol,Portfolio%,Price
476,Wynn Resorts Ltd,WYNN,0.02%,89.28
477,"Tapestry, Inc.",TPR,0.02%,35.85
478,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,20.32
479,Borgwarner Inc.,BWA,0.02%,34.73
480,"Franklin Resources, Inc.",BEN,0.02%,29.22
481,Pinnacle West Capital Corporation,PNW,0.02%,72.56
482,Paramount Global Class B,PARA,0.02%,15.51
483,Generac Holdings Inc,GNRC,0.02%,128.59
484,Invesco Ltd,IVZ,0.02%,17.34
485,Federal Realty Investment Trust,FRT,0.02%,104.36
486,Fox Corporation Class A,FOXA,0.02%,29.65
487,Fmc Corporation,FMC,0.02%,58.89
488,"Catalent, Inc.",CTLT,0.02%,41.89
489,Comerica Incorporated,CMA,0.02%,54.66
490,Dentsply Sirona Inc.,XRAY,0.02%,34.07
491,Zions Bancorporation N.a.,ZION,0.02%,43.04
492,V.F. Corporation,VFC,0.02%,18.36
493,Whirlpool Corp.,WHR,0.02%,117.88
494,"Hasbro, Inc.",HAS,0.02%,51.97
495,"Bio-Rad Laboratories, Inc.Class A",BIO,0.02%,307.94
496,Davita Inc.,DVA,0.01%,106.93
497,Ralph Lauren Corporation,RL,0.01%,143.59
498,"Mohawk Industries, Inc.",MHK,0.01%,103.07
499,"Solaredge Technologies, Inc.",SEDG,0.01%,93.48
500,Sealed Air Corp.,SEE,0.01%,36
501,"Alaska Air Group, Inc.",ALK,0.01%,39.27
502,Fox Corporation Class B,FOX,0.01%,27.63
503,News Corporation Class B,NWS,0.01%,24.45
